atom,category,min_sim,mean_sim,max_sim,n_strong_seeds,n_partial_seeds,n_weak_seeds,match_class
PRP.large,PRP,0.4814,0.4884,0.4984,0,24,0,all_partial_no_strong
SOC.awake,SOC,0.4768,0.4882,0.4974,0,24,0,all_partial_no_strong
PRP.single,PRP,0.4741,0.4806,0.4953,0,24,0,all_partial_no_strong
SOC.village,SOC,0.4624,0.4803,0.4936,0,24,0,all_partial_no_strong
ACT.move,ACT,0.4629,0.478,0.494,0,24,0,all_partial_no_strong
ECO.currency,ECO,0.4622,0.4774,0.4888,0,24,0,all_partial_no_strong
ACT.create,ACT,0.4753,0.4772,0.4785,0,24,0,all_partial_no_strong
PER.untouched,PER,0.4697,0.4764,0.4904,0,24,0,all_partial_no_strong
PRP.possible,PRP,0.465,0.4764,0.4907,0,24,0,all_partial_no_strong
TIM.come,TIM,0.4575,0.4759,0.4889,0,24,0,all_partial_no_strong
EMO.patience,EMO,0.4531,0.4753,0.4955,0,24,0,all_partial_no_strong
BOD.foot,BOD,0.4628,0.4737,0.4883,0,24,0,all_partial_no_strong
PER.bitter,PER,0.4522,0.4725,0.4845,0,24,0,all_partial_no_strong
STA.wealth,STA,0.4619,0.4717,0.4799,0,24,0,all_partial_no_strong
SPC.reverse,SPC,0.4295,0.4714,0.4982,0,24,0,all_partial_no_strong
PRP.weak,PRP,0.4595,0.4683,0.4818,0,24,0,all_partial_no_strong
PRP.light,PRP,0.4431,0.4657,0.4804,0,24,0,all_partial_no_strong
SPC.place,SPC,0.4518,0.4651,0.4778,0,24,0,all_partial_no_strong
ACT.descend,ACT,0.4535,0.464,0.4777,0,24,0,all_partial_no_strong
WLD.outer_realm,WLD,0.4352,0.4622,0.4755,0,24,0,all_partial_no_strong
SOC.request,SOC,0.4524,0.4613,0.4974,0,24,0,all_partial_no_strong
COM.announce,COM,0.4391,0.4594,0.4867,0,24,0,all_partial_no_strong
FND.unconscious,FND,0.4507,0.4591,0.464,0,24,0,all_partial_no_strong
ABS.exempt,ABS,0.4561,0.4588,0.4688,0,24,0,all_partial_no_strong
MAT.food,MAT,0.4452,0.4574,0.4702,0,24,0,all_partial_no_strong
ACT.sink,ACT,0.4426,0.457,0.4703,0,24,0,all_partial_no_strong
STA.wound,STA,0.4483,0.4563,0.4625,0,24,0,all_partial_no_strong
COM.secret,COM,0.4397,0.4547,0.4863,0,24,0,all_partial_no_strong
COG.remember,COG,0.4435,0.4546,0.4764,0,24,0,all_partial_no_strong
EMO.satisfaction,EMO,0.4427,0.4545,0.4849,0,24,0,all_partial_no_strong
FND.spatiality,FND,0.4389,0.4538,0.4632,0,24,0,all_partial_no_strong
WLD.unskilled,WLD,0.4478,0.4527,0.4554,0,24,0,all_partial_no_strong
COG.mindless,COG,0.4464,0.4519,0.4648,0,24,0,all_partial_no_strong
PRP.high,PRP,0.4435,0.4518,0.4645,0,24,0,all_partial_no_strong
NAT.flower,NAT,0.4323,0.4499,0.4632,0,24,0,all_partial_no_strong
REL.alone,REL,0.4415,0.4499,0.4612,0,24,0,all_partial_no_strong
SOC.individual,SOC,0.4424,0.4498,0.4632,0,24,0,all_partial_no_strong
SPC.nowhere,SPC,0.4208,0.4429,0.4585,0,24,0,all_partial_no_strong
PRP.hot,PRP,0.4351,0.4426,0.4543,0,24,0,all_partial_no_strong
PRP.strong,PRP,0.4282,0.4412,0.4537,0,24,0,all_partial_no_strong
EMO.like,EMO,0.4301,0.4388,0.4553,0,24,0,all_partial_no_strong
EMO.happiness,EMO,0.4082,0.4382,0.4601,0,24,0,all_partial_no_strong
PRP.near,PRP,0.426,0.4374,0.448,0,24,0,all_partial_no_strong
COG.intention,COG,0.4048,0.4355,0.4617,0,24,0,all_partial_no_strong
EMO.fear,EMO,0.4096,0.4346,0.453,0,24,0,all_partial_no_strong
EMO.joy,EMO,0.4133,0.4343,0.4555,0,24,0,all_partial_no_strong
EXS.absence,EXS,0.4252,0.4337,0.447,0,24,0,all_partial_no_strong
PER.stench,PER,0.4137,0.4337,0.4451,0,24,0,all_partial_no_strong
ABS.self,ABS,0.4264,0.4323,0.4406,0,24,0,all_partial_no_strong
SOC.stateless,SOC,0.4163,0.4317,0.4452,0,24,0,all_partial_no_strong
ACT.agitate,ACT,0.4198,0.4295,0.4448,0,24,0,all_partial_no_strong
BEI.plant,BEI,0.4227,0.4293,0.4382,0,24,0,all_partial_no_strong
EMO.desire,EMO,0.4153,0.4293,0.4488,0,24,0,all_partial_no_strong
EMO.wish,EMO,0.4116,0.4271,0.4509,0,24,0,all_partial_no_strong
STA.illness,STA,0.4189,0.4267,0.4407,0,24,0,all_partial_no_strong
ACT.abandon,ACT,0.4086,0.4255,0.4481,0,24,0,all_partial_no_strong
STA.pain,STA,0.4088,0.4253,0.4514,0,24,0,all_partial_no_strong
FND.language,FND,0.3932,0.4251,0.4445,0,24,0,all_partial_no_strong
EMO.doubt,EMO,0.4096,0.4247,0.4508,0,24,0,all_partial_no_strong
PRP.cold,PRP,0.4086,0.4222,0.4365,0,24,0,all_partial_no_strong
EMO.anxiety,EMO,0.4107,0.4221,0.4351,0,24,0,all_partial_no_strong
FND.consciousness,FND,0.4056,0.4219,0.4434,0,24,0,all_partial_no_strong
PRP.wide,PRP,0.4114,0.4213,0.435,0,24,0,all_partial_no_strong
PRP.dark,PRP,0.4077,0.4204,0.4314,0,24,0,all_partial_no_strong
EXS.physical_body,EXS,0.4097,0.4197,0.4309,0,24,0,all_partial_no_strong
PRP.low,PRP,0.4069,0.418,0.431,0,24,0,all_partial_no_strong
EMO.respect,EMO,0.4085,0.4179,0.4304,0,24,0,all_partial_no_strong
COG.confusion,COG,0.4035,0.4171,0.4392,0,24,0,all_partial_no_strong
COG.forget,COG,0.3988,0.4116,0.425,0,24,0,all_partial_no_strong
PRP.blunt,PRP,0.3999,0.4089,0.4186,0,24,0,all_partial_no_strong
ELM.darkness,ELM,0.3948,0.4087,0.4247,0,24,0,all_partial_no_strong
SOC.obstruct,SOC,0.3981,0.408,0.4198,0,24,0,all_partial_no_strong
EMO.hope,EMO,0.3946,0.4065,0.4338,0,24,0,all_partial_no_strong
EXS.presence,EXS,0.3947,0.4061,0.4173,0,24,0,all_partial_no_strong
PRP.soft,PRP,0.3957,0.4058,0.4185,0,24,0,all_partial_no_strong
PRP.heavy,PRP,0.3986,0.4051,0.4131,0,24,0,all_partial_no_strong
TIM.indefinite,TIM,0.3316,0.4045,0.4981,0,24,0,all_partial_no_strong
PRP.rough,PRP,0.3954,0.4032,0.4115,0,24,0,all_partial_no_strong
PRP.hard,PRP,0.3921,0.4029,0.4144,0,24,0,all_partial_no_strong
STA.poverty,STA,0.3853,0.4026,0.432,0,24,0,all_partial_no_strong
PRP.narrow,PRP,0.3954,0.4023,0.4125,0,24,0,all_partial_no_strong
