seed,gk,sw100,div,entropy,tri,diffusion,flow_AC,flow_BC,flow_AB,med_ratio,depth_mean,depth_1pct,depth_2pct,depth_3pct,chains,svi,bridges,persist_br,br_max,A_persist,B_persist,C_persist,r0_c,r1_c,r2_c,r3_c
1,4,20.8,0.12,1.5468,3,70256,24285,22834,23137,2.0365,2.247,0.0,75.3,24.7,25,0.24,4.2,0.0,1,0.0,0.0,0.0,A,B,A,B
10,4,33.3,0.36,1.5368,2,69520,24101,22598,22821,2.0463,2.249,0.0,75.1,24.9,22,0.229,4.2,0.0,1,0.08,0.04,0.0,A,B,A,B
11,4,41.7,0.52,1.5285,3,69638,23919,22702,23017,2.0255,2.25,0.0,75.0,25.0,19,0.2253,3.9,0.0,1,0.0,0.04,0.08,A,B,A,B
12,4,54.2,0.64,1.5406,2,69437,23726,22797,22914,2.0303,2.248,0.0,75.2,24.8,17,0.129,4.6,0.0,1,0.0,0.0,0.0,A,B,A,B
13,4,62.5,0.8,1.5558,3,70197,24198,22954,23045,2.0461,2.25,0.0,75.0,25.0,25,0.3008,4.5,0.0,1,0.16,0.0,0.04,A,B,A,B
14,4,45.8,0.6,1.5455,0,69836,24230,22611,22995,2.037,2.248,0.0,75.2,24.8,19,0.049,3.4,0.0,1,0.08,0.0,0.0,A,B,A,B
15,4,37.5,0.48,1.5493,1,70086,24011,23011,23064,2.0388,2.247,0.0,75.3,24.7,22,0.3179,4.4,0.0,1,0.08,0.04,0.08,A,B,A,B
16,4,50.0,0.6,1.5651,0,70148,24394,22784,22970,2.0539,2.248,0.0,75.2,24.8,23,0.1616,4.5,0.0,1,0.0,0.04,0.04,A,B,A,B
17,4,20.8,0.64,1.534,2,69645,24402,22568,22675,2.0714,2.247,0.0,75.3,24.7,27,0.196,3.9,0.0,1,0.04,0.04,0.08,A,B,A,B
18,4,29.2,0.6,1.5317,2,70501,24558,23015,22928,2.0749,2.246,0.0,75.4,24.6,19,0.094,3.1,0.0,1,0.04,0.08,0.0,A,B,A,B
19,4,29.2,0.28,1.5427,2,69755,24037,22864,22854,2.0522,2.25,0.0,75.0,25.0,23,0.2743,4.7,0.0,1,0.08,0.04,0.12,A,B,A,B
2,4,37.5,0.6,1.5424,2,69778,24204,22688,22886,2.0489,2.25,0.0,75.0,25.0,24,0.1616,3.2,0.0,1,0.0,0.08,0.0,A,B,A,B
20,4,54.2,0.84,1.5333,0,70178,24385,22708,23085,2.04,2.25,0.0,75.0,25.0,27,0.455,4.8,0.0,1,0.04,0.0,0.0,A,B,A,B
3,4,37.5,0.2,1.5333,2,70085,24342,22653,23090,2.0353,2.246,0.0,75.4,24.6,29,0.2163,4.6,0.0,1,0.04,0.16,0.08,A,B,A,B
4,4,20.8,0.64,1.5283,1,70277,24418,22778,23081,2.0448,2.251,0.0,74.9,25.1,19,0.0816,3.5,0.0,1,0.04,0.0,0.0,A,B,A,B
5,4,37.5,0.48,1.5407,2,70493,24541,22717,23235,2.0339,2.251,0.0,74.9,25.1,16,0.0574,5.2,0.0,1,0.08,0.04,0.04,A,B,A,B
6,4,41.7,0.32,1.5445,1,69760,24356,22413,22991,2.0342,2.248,0.0,75.2,24.8,29,0.16,3.3,0.0,1,0.0,0.04,0.0,A,B,A,B
7,4,54.2,0.48,1.5474,2,70135,24316,22644,23175,2.0263,2.245,0.0,75.5,24.5,20,0.5314,4.2,0.0,1,0.04,0.08,0.0,A,B,A,B
8,4,45.8,0.44,1.5458,4,69866,24174,22648,23044,2.0319,2.248,0.0,75.2,24.8,27,0.129,4.0,0.0,1,0.0,0.0,0.0,A,B,A,B
9,4,54.2,0.88,1.5576,1,70135,24350,22671,23114,2.0343,2.251,0.0,74.9,25.1,29,0.487,4.4,0.0,1,0.0,0.08,0.08,A,B,A,B
