N,seed,window,ghost_count,ghost_residual_Q_total
500,0,20,5,35.0
500,0,21,7,18.0
500,0,22,10,12.0
500,0,23,12,8.0
500,0,24,12,0.0
500,0,25,13,2.0
500,0,26,13,0.0
500,0,27,14,4.0
500,0,28,14,0.0
500,0,29,15,6.0
500,0,30,15,0.0
500,0,31,15,0.0
500,0,32,15,0.0
500,0,33,15,0.0
500,0,34,15,0.0
500,0,35,15,0.0
500,0,36,15,0.0
500,0,37,15,0.0
500,0,38,15,0.0
500,0,39,15,0.0
500,0,40,15,0.0
500,0,41,15,0.0
500,0,42,15,0.0
500,0,43,15,0.0
500,0,44,15,0.0
500,0,45,15,0.0
500,0,46,15,0.0
500,0,47,15,0.0
500,0,48,15,0.0
500,0,49,15,0.0
500,0,50,15,0.0
500,0,51,15,0.0
500,0,52,15,0.0
500,0,53,15,0.0
500,0,54,15,0.0
500,0,55,15,0.0
500,0,56,15,0.0
500,0,57,15,0.0
500,0,58,15,0.0
500,0,59,15,0.0
500,0,60,15,0.0
500,0,61,15,0.0
500,0,62,15,0.0
500,0,63,15,0.0
500,0,64,15,0.0
500,0,65,15,0.0
500,0,66,15,0.0
500,0,67,15,0.0
500,0,68,15,0.0
500,0,69,15,0.0
500,1,20,6,22.0
500,1,21,9,39.0
500,1,22,11,12.0
500,1,23,15,17.0
500,1,24,18,16.0
500,1,25,21,11.0
500,1,26,22,5.0
500,1,27,22,2.0
500,1,28,24,5.0
500,1,29,25,2.0
500,1,30,26,3.0
500,1,31,26,0.0
500,1,32,26,0.0
500,1,33,26,0.0
500,1,34,26,0.0
500,1,35,26,0.0
500,1,36,26,0.0
500,1,37,26,0.0
500,1,38,26,0.0
500,1,39,26,0.0
500,1,40,26,0.0
500,1,41,26,0.0
500,1,42,26,0.0
500,1,43,26,0.0
500,1,44,26,0.0
500,1,45,26,0.0
500,1,46,26,0.0
500,1,47,26,0.0
500,1,48,26,0.0
500,1,49,26,0.0
500,1,50,26,0.0
500,1,51,26,0.0
500,1,52,26,0.0
500,1,53,26,0.0
500,1,54,26,0.0
500,1,55,26,0.0
500,1,56,26,0.0
500,1,57,26,0.0
500,1,58,26,0.0
500,1,59,26,0.0
500,1,60,26,0.0
500,1,61,26,0.0
500,1,62,26,0.0
500,1,63,26,0.0
500,1,64,26,0.0
500,1,65,26,0.0
500,1,66,26,0.0
500,1,67,26,0.0
500,1,68,26,0.0
500,1,69,26,0.0
500,2,20,8,72.0
500,2,21,11,51.0
500,2,22,14,28.0
500,2,23,15,1.0
500,2,24,16,1.0
500,2,25,17,2.0
500,2,26,17,0.0
500,2,27,17,0.0
500,2,28,17,0.0
500,2,29,17,0.0
500,2,30,17,0.0
500,2,31,17,0.0
500,2,32,18,2.0
500,2,33,18,0.0
500,2,34,18,0.0
500,2,35,18,0.0
500,2,36,18,0.0
500,2,37,18,0.0
500,2,38,18,0.0
500,2,39,18,0.0
500,2,40,18,0.0
500,2,41,18,0.0
500,2,42,18,0.0
500,2,43,18,0.0
500,2,44,18,0.0
500,2,45,18,0.0
500,2,46,18,0.0
500,2,47,18,0.0
500,2,48,18,0.0
500,2,49,18,0.0
500,2,50,18,0.0
500,2,51,18,0.0
500,2,52,18,0.0
500,2,53,18,0.0
500,2,54,18,0.0
500,2,55,18,0.0
500,2,56,18,0.0
500,2,57,18,0.0
500,2,58,18,0.0
500,2,59,18,0.0
500,2,60,18,0.0
500,2,61,18,0.0
500,2,62,18,0.0
500,2,63,18,0.0
500,2,64,18,0.0
500,2,65,18,0.0
500,2,66,18,0.0
500,2,67,18,0.0
500,2,68,18,0.0
500,2,69,18,0.0
500,3,20,3,31.0
500,3,21,8,40.0
500,3,22,8,24.0
500,3,23,11,29.0
500,3,24,17,21.0
500,3,25,18,1.0
500,3,26,20,10.0
500,3,27,23,8.0
500,3,28,23,0.0
500,3,29,23,0.0
500,3,30,23,0.0
500,3,31,23,0.0
500,3,32,23,0.0
500,3,33,23,0.0
500,3,34,24,1.0
500,3,35,24,0.0
500,3,36,25,3.0
500,3,37,25,0.0
500,3,38,25,0.0
500,3,39,25,0.0
500,3,40,25,0.0
500,3,41,25,0.0
500,3,42,25,0.0
500,3,43,25,0.0
500,3,44,25,0.0
500,3,45,25,0.0
500,3,46,25,0.0
500,3,47,25,0.0
500,3,48,25,0.0
500,3,49,25,0.0
500,3,50,25,0.0
500,3,51,25,0.0
500,3,52,25,0.0
500,3,53,25,0.0
500,3,54,25,0.0
500,3,55,25,0.0
500,3,56,25,0.0
500,3,57,25,0.0
500,3,58,25,0.0
500,3,59,25,0.0
500,3,60,25,0.0
500,3,61,25,0.0
500,3,62,25,0.0
500,3,63,25,0.0
500,3,64,25,0.0
500,3,65,25,0.0
500,3,66,25,0.0
500,3,67,25,0.0
500,3,68,25,0.0
500,3,69,25,0.0
500,4,20,4,25.0
500,4,21,8,28.0
500,4,22,9,8.0
500,4,23,9,1.0
500,4,24,9,0.0
500,4,25,10,12.0
500,4,26,13,11.0
500,4,27,15,6.0
500,4,28,18,9.0
500,4,29,19,6.0
500,4,30,20,2.0
500,4,31,21,1.0
500,4,32,22,1.0
500,4,33,22,0.0
500,4,34,22,0.0
500,4,35,22,0.0
500,4,36,22,0.0
500,4,37,22,0.0
500,4,38,22,0.0
500,4,39,22,0.0
500,4,40,22,0.0
500,4,41,22,0.0
500,4,42,22,0.0
500,4,43,22,0.0
500,4,44,22,0.0
500,4,45,23,3.0
500,4,46,23,0.0
500,4,47,23,0.0
500,4,48,23,0.0
500,4,49,23,0.0
500,4,50,23,0.0
500,4,51,23,0.0
500,4,52,23,0.0
500,4,53,23,0.0
500,4,54,23,0.0
500,4,55,23,0.0
500,4,56,23,0.0
500,4,57,23,0.0
500,4,58,23,0.0
500,4,59,23,0.0
500,4,60,23,0.0
500,4,61,23,0.0
500,4,62,23,0.0
500,4,63,23,0.0
500,4,64,23,0.0
500,4,65,23,0.0
500,4,66,23,0.0
500,4,67,23,0.0
500,4,68,23,0.0
500,4,69,23,0.0
500,5,20,0,0.0
500,5,21,3,9.0
500,5,22,5,17.0
500,5,23,9,8.0
500,5,24,10,1.0
500,5,25,11,6.0
500,5,26,11,0.0
500,5,27,11,0.0
500,5,28,11,0.0
500,5,29,11,0.0
500,5,30,11,0.0
500,5,31,11,0.0
500,5,32,12,3.0
500,5,33,12,0.0
500,5,34,12,0.0
500,5,35,12,0.0
500,5,36,12,0.0
500,5,37,12,0.0
500,5,38,12,0.0
500,5,39,12,0.0
500,5,40,12,0.0
500,5,41,12,0.0
500,5,42,12,0.0
500,5,43,12,0.0
500,5,44,12,0.0
500,5,45,12,0.0
500,5,46,12,0.0
500,5,47,12,0.0
500,5,48,12,0.0
500,5,49,12,0.0
500,5,50,12,0.0
500,5,51,12,0.0
500,5,52,12,0.0
500,5,53,12,0.0
500,5,54,12,0.0
500,5,55,12,0.0
500,5,56,12,0.0
500,5,57,12,0.0
500,5,58,12,0.0
500,5,59,12,0.0
500,5,60,12,0.0
500,5,61,12,0.0
500,5,62,12,0.0
500,5,63,12,0.0
500,5,64,12,0.0
500,5,65,12,0.0
500,5,66,12,0.0
500,5,67,12,0.0
500,5,68,12,0.0
500,5,69,12,0.0
500,6,20,5,31.0
500,6,21,11,56.0
500,6,22,11,37.0
500,6,23,12,35.0
500,6,24,14,35.0
500,6,25,15,9.0
500,6,26,16,2.0
500,6,27,17,2.0
500,6,28,17,0.0
500,6,29,19,4.0
500,6,30,19,0.0
500,6,31,19,0.0
500,6,32,19,0.0
500,6,33,19,0.0
500,6,34,19,0.0
500,6,35,19,0.0
500,6,36,19,0.0
500,6,37,19,0.0
500,6,38,19,0.0
500,6,39,19,0.0
500,6,40,19,0.0
500,6,41,19,0.0
500,6,42,19,0.0
500,6,43,19,0.0
500,6,44,19,0.0
500,6,45,19,0.0
500,6,46,19,0.0
500,6,47,19,0.0
500,6,48,19,0.0
500,6,49,19,0.0
500,6,50,19,0.0
500,6,51,19,0.0
500,6,52,19,0.0
500,6,53,19,0.0
500,6,54,19,0.0
500,6,55,19,0.0
500,6,56,19,0.0
500,6,57,19,0.0
500,6,58,19,0.0
500,6,59,19,0.0
500,6,60,19,0.0
500,6,61,19,0.0
500,6,62,19,0.0
500,6,63,19,0.0
500,6,64,19,0.0
500,6,65,19,0.0
500,6,66,19,0.0
500,6,67,19,0.0
500,6,68,19,0.0
500,6,69,19,0.0
500,7,20,7,61.0
500,7,21,10,43.0
500,7,22,12,33.0
500,7,23,18,43.0
500,7,24,20,21.0
500,7,25,22,15.0
500,7,26,23,3.0
500,7,27,23,0.0
500,7,28,23,0.0
500,7,29,24,2.0
500,7,30,26,8.0
500,7,31,26,0.0
500,7,32,26,0.0
500,7,33,26,0.0
500,7,34,26,0.0
500,7,35,26,0.0
500,7,36,26,0.0
500,7,37,26,0.0
500,7,38,26,0.0
500,7,39,26,0.0
500,7,40,26,0.0
500,7,41,26,0.0
500,7,42,26,0.0
500,7,43,26,0.0
500,7,44,26,0.0
500,7,45,26,0.0
500,7,46,26,0.0
500,7,47,26,0.0
500,7,48,26,0.0
500,7,49,26,0.0
500,7,50,26,0.0
500,7,51,26,0.0
500,7,52,26,0.0
500,7,53,26,0.0
500,7,54,26,0.0
500,7,55,26,0.0
500,7,56,26,0.0
500,7,57,26,0.0
500,7,58,26,0.0
500,7,59,26,0.0
500,7,60,26,0.0
500,7,61,26,0.0
500,7,62,26,0.0
500,7,63,26,0.0
500,7,64,26,0.0
500,7,65,26,0.0
500,7,66,26,0.0
500,7,67,26,0.0
500,7,68,26,0.0
500,7,69,26,0.0
500,8,20,2,14.0
500,8,21,5,20.0
500,8,22,10,16.0
500,8,23,12,5.0
500,8,24,12,0.0
500,8,25,13,6.0
500,8,26,13,0.0
500,8,27,13,0.0
500,8,28,13,0.0
500,8,29,13,0.0
500,8,30,13,0.0
500,8,31,14,6.0
500,8,32,14,0.0
500,8,33,14,0.0
500,8,34,14,0.0
500,8,35,14,0.0
500,8,36,14,0.0
500,8,37,14,0.0
500,8,38,14,0.0
500,8,39,14,0.0
500,8,40,14,0.0
500,8,41,14,0.0
500,8,42,14,0.0
500,8,43,14,0.0
500,8,44,14,0.0
500,8,45,14,0.0
500,8,46,14,0.0
500,8,47,14,0.0
500,8,48,14,0.0
500,8,49,14,0.0
500,8,50,14,0.0
500,8,51,14,0.0
500,8,52,14,0.0
500,8,53,14,0.0
500,8,54,14,0.0
500,8,55,14,0.0
500,8,56,14,0.0
500,8,57,14,0.0
500,8,58,14,0.0
500,8,59,14,0.0
500,8,60,14,0.0
500,8,61,14,0.0
500,8,62,14,0.0
500,8,63,14,0.0
500,8,64,14,0.0
500,8,65,14,0.0
500,8,66,14,0.0
500,8,67,14,0.0
500,8,68,14,0.0
